,YEAR,X,Y,OILDISCOVERED_BINARY,GASDISCOVERED_BINARY
246,1990,672026.3928803614,6483790.565015679,0.0,0.0
247,2002,672055.6999471869,6483208.372011237,1.0,0.0
248,1991,668095.0961905504,6477085.703922622,0.0,0.0
249,2015,668095.0961905504,6477085.703922622,0.0,0.0
250,2002,672016.6910150512,6483172.591343712,1.0,0.0
251,1993,670673.0709125581,6473345.828043597,1.0,0.0
252,1996,664922.4215870614,6483214.827486568,1.0,0.0
253,2004,670670.1700209794,6477449.751626004,0.0,0.0
254,2006,621908.3211263213,6458380.04272083,0.0,0.0
255,1976,643227.5495735649,6468162.337816601,0.0,0.0
256,1973,653391.5784040923,6464696.557476777,1.0,1.0
257,1976,662721.0990036301,6467111.231236525,0.0,0.0
258,1990,660712.2601417005,6464755.998558164,1.0,0.0
259,1996,657452.8439538052,6465751.812484337,0.0,0.0
260,1998,662643.1207713317,6465328.397519821,0.0,0.0
261,1971,675437.2455917024,6451428.644185696,0.0,0.0
262,1992,671081.1354413723,6466405.079725129,0.0,0.0
263,1995,674657.8797132857,6469450.044877427,1.0,0.0
264,1996,675566.1594242174,6464059.399336111,1.0,0.0
265,2008,669181.8483582916,6464083.725880118,0.0,0.0
266,2008,669181.8483582916,6464083.725880118,0.0,0.0
267,1989,667807.2957460299,6452292.025755835,1.0,0.0
268,1989,667807.2915371598,6452292.027807049,0.0,0.0
269,1979,623269.0244899257,6434074.480714543,0.0,0.0
270,1982,628525.0515958698,6436487.535176489,0.0,0.0
271,1983,621638.544028904,6440257.152457744,0.0,0.0
272,1997,623300.9645277918,6432776.904560726,1.0,1.0
273,1999,624512.2370256423,6434757.48623286,1.0,1.0
274,2001,625530.907757251,6431383.808704559,1.0,1.0
275,2011,620721.224429987,6435689.838097079,0.0,0.0
276,1992,625148.4619494878,6442838.918061398,1.0,0.0
277,1997,628597.9496142247,6437877.054627894,1.0,1.0
278,1990,631254.2150414307,6435279.768517742,0.0,0.0
279,2006,633508.6066296959,6436286.349998464,0.0,0.0
280,1989,648713.488593512,6438224.625224512,0.0,0.0
281,2000,649837.8729298317,6436268.866762189,0.0,0.0
282,2007,652856.5110468395,6448859.508445398,0.0,0.0
